"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tyler Lockett","TEN","50.8","586.7","3.5","0.0","0.0","0.0","0.1","79.3"
"Luther Burden III","CHI","46.0","558.6","3.3","3.6","27.2","0.4","1.1","78.1"
"Michael Wilson","ARI","43.8","525.1","3.9","1.9","8.9","0.1","0.5","76.4"
"Alec Pierce","IND","31.3","539.0","3.5","0.0","0.0","0.0","0.1","74.5"
"Tre' Harris","LAC","40.8","544.2","3.4","0.7","3.8","0.0","0.7","74.0"
"Calvin Austin III","PIT","39.6","529.0","3.4","2.3","11.8","0.1","0.5","73.6"
"Quentin Johnston","LAC","34.6","453.7","4.1","1.7","7.2","0.0","0.4","70.1"
"Darius Slayton","NYG","35.6","534.0","2.5","1.4","6.4","0.0","0.2","68.9"
"Ray-Ray McCloud III","ATL","44.5","486.5","2.6","7.5","52.8","0.2","1.2","67.9"
"Dyami Brown","JAC","39.2","504.4","2.8","0.7","6.8","0.0","0.5","67.0"
"Josh Reynolds","NYJ","36.4","477.4","3.0","0.0","0.0","0.0","0.1","65.2"
"Tutu Atwell","LAR","39.1","497.2","2.2","4.3","20.2","0.1","0.1","65.2"
"Nick Westbrook-Ikhine","MIA","31.4","427.4","3.7","0.0","1.3","0.0","0.1","64.7"
"DeAndre Hopkins","BAL","32.0","412.1","3.9","0.0","0.5","0.0","0.1","64.6"
"Kyle Williams","NE","35.5","454.4","2.7","2.1","13.3","0.0","0.4","62.1"
"Jalen Tolbert","DAL","34.6","404.1","3.5","0.0","0.0","0.0","0.1","61.4"
"Andrei Iosivas","CIN","31.4","380.6","3.7","0.0","0.0","0.0","0.1","59.8"
"Jalen Nailor","MIN","29.2","382.1","3.5","1.8","4.1","0.0","0.4","59.0"
"Brandin Cooks","NO","35.6","404.1","2.8","1.7","3.8","0.0","0.1","57.1"
"Tre Tucker","LV","30.2","385.0","2.2","5.6","31.5","0.3","0.1","56.8"
"Jordan Whittington","LAR","34.1","397.8","2.4","1.1","13.9","0.0","0.1","55.6"
"Troy Franklin","DEN","30.2","375.4","2.8","1.1","6.1","0.0","0.1","55.0"
"Marquez Valdes-Scantling","SEA","23.9","394.2","2.3","2.7","10.4","0.1","0.0","54.8"
"Tory Horton","SEA","33.4","424.6","2.1","1.0","8.7","0.0","0.7","54.2"
"Jalen Coker","CAR","31.8","416.6","2.0","0.0","2.3","0.0","0.1","53.8"
"Jack Bech","LV","31.1","390.3","2.2","0.0","2.5","0.0","0.1","52.2"
"Dontayvion Wicks","GB","26.9","340.0","3.0","0.0","1.3","0.0","0.0","52.1"
"Kayshon Boutte","NE","28.3","379.7","2.4","0.0","0.0","0.0","0.1","52.1"
"Noah Brown","WAS","31.8","406.6","1.9","0.0","0.0","0.0","0.1","51.8"
"Christian Watson","GB","19.9","366.7","2.3","4.3","17.0","0.0","0.4","51.6"
"Adonai Mitchell","IND","28.4","372.4","2.2","2.9","9.5","0.1","0.4","50.7"
"Pat Bryant","DEN","29.1","351.4","2.6","0.0","0.0","0.0","0.1","50.5"
"Amari Cooper","LV","27.3","362.1","2.1","0.0","0.0","0.0","0.0","48.9"
"Elic Ayomanor","TEN","29.4","357.3","2.1","0.0","5.7","0.0","0.1","48.5"
"Allen Lazard","NYJ","25.3","327.9","2.3","0.0","0.0","0.0","0.1","46.4"
"K.J. Osborn","WAS","28.1","310.3","2.4","0.0","0.0","0.0","0.0","45.6"
"Curtis Samuel","BUF","27.0","272.2","2.5","6.6","29.3","0.1","0.1","45.5"
"Dont'e Thornton Jr.","LV","25.1","328.5","2.0","0.0","2.0","0.0","0.1","44.7"
"Greg Dortch","ARI","28.0","278.7","2.1","4.8","30.6","0.1","0.4","43.2"
"Anthony Miller","BAL","25.3","276.9","2.6","0.0","0.0","0.0","0.0","43.2"
"Van Jefferson","TEN","23.4","300.6","1.9","0.0","0.0","0.0","0.1","41.0"
"Roman Wilson","PIT","22.9","290.2","2.0","0.0","0.0","0.0","0.1","40.7"
"Malik Washington","MIA","27.5","288.9","1.8","2.0","13.8","0.1","0.6","40.4"
"Diontae Johnson","CLE","24.0","307.8","1.6","0.0","1.3","0.0","0.6","39.1"
"Devaughn Vele","NO","25.2","269.2","1.9","0.0","1.7","0.0","0.1","38.2"
"Tim Patrick","DET","20.5","256.5","2.0","0.0","0.0","0.0","0.1","37.4"
"Jalen McMillan","TB","17.9","224.7","2.3","1.4","11.0","0.0","0.4","36.6"
"KaVontae Turpin","DAL","17.0","206.0","1.4","8.4","58.5","0.5","0.7","36.5"
"Parker Washington","JAC","24.7","261.6","1.6","0.0","8.5","0.0","0.1","36.3"
"JuJu Smith-Schuster","KC","23.1","255.6","1.8","0.0","0.0","0.0","0.1","36.0"
"Tai Felton","MIN","20.1","241.8","1.9","0.0","3.7","0.0","0.0","35.7"
"Jaylin Noel","HOU","21.6","249.2","1.4","0.0","13.0","0.0","0.0","34.6"
"Demarcus Robinson","SF","13.9","217.8","1.9","0.0","0.8","0.0","0.0","33.3"
"Chimere Dike","TEN","18.4","222.9","1.6","2.1","8.9","0.0","0.1","32.8"
"Tyler Johnson","NYJ","21.5","227.5","1.7","0.0","0.0","0.0","0.0","32.8"
"Jermaine Burton","CIN","15.8","205.9","2.0","0.0","2.0","0.0","0.1","32.3"
"Jamari Thrash","CLE","21.0","251.4","1.2","0.0","0.0","0.0","0.2","32.2"
"Luke McCaffrey","WAS","19.7","206.6","1.5","0.0","1.0","0.0","0.1","29.5"
"Skyy Moore","SF","15.5","185.2","1.4","0.0","0.0","0.0","0.0","26.8"
"A.T. Perry","DEN","13.5","176.5","1.4","0.0","0.0","0.0","0.0","26.3"
"Kendrick Bourne","NE","16.9","195.1","1.0","1.1","6.8","0.0","0.0","26.2"
"Zay Jones","ARI","16.8","179.9","1.3","0.0","2.0","0.0","0.1","25.7"
"Jahan Dotson","PHI","14.6","176.4","1.3","0.0","1.7","0.0","0.0","25.5"
"Robert Woods","PIT","17.4","180.7","1.2","0.0","0.0","0.0","0.1","25.0"
"Kalif Raymond","DET","14.7","184.2","1.2","0.0","4.0","0.0","0.6","24.7"
"Isaiah Bond","CLE","13.8","171.9","1.1","0.0","0.0","0.0","0.0","23.6"
"KhaDarel Hodge","ATL","13.5","176.6","1.0","0.0","0.0","0.0","0.1","23.6"
"Elijah Moore","BUF","14.5","160.1","1.2","0.0","1.3","0.0","0.0","23.4"
"Xavier Hutchinson","HOU","14.6","171.9","1.0","0.0","0.0","0.0","0.1","22.9"
"Jalen Royals","KC","12.9","156.2","1.2","0.0","2.5","0.0","0.0","22.8"
"Isaac TeSlaa","DET","10.7","155.2","1.1","0.0","0.0","0.0","0.0","22.3"
"Jalin Hyatt","NYG","12.1","160.6","0.8","0.0","0.0","0.0","0.0","21.1"
"Russell Gage Jr.","SF","13.0","145.4","1.0","0.0","0.0","0.0","0.0","20.7"
"Casey Washington","ATL","11.3","135.6","1.0","0.0","0.0","0.0","0.0","19.6"
"Malachi Corley","NYJ","11.7","125.0","0.8","2.3","13.5","0.1","0.1","18.8"
"Jaylin Lane","WAS","10.4","120.3","0.8","2.2","13.5","0.1","0.1","18.8"
"Jake Bobo","SEA","11.5","132.6","0.9","0.0","0.0","0.0","0.0","18.3"
"Arian Smith","NYJ","11.2","134.3","0.7","0.0","3.5","0.0","0.0","17.9"
"Savion Williams","GB","9.1","104.8","0.8","4.4","16.4","0.1","0.0","17.5"
"Erik Ezukanma","MIA","10.8","120.7","0.8","0.0","0.0","0.0","0.0","16.8"
