"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Nick Mullens","JAC","14.0","9.0","142.1","0.7","0.7","2.1","8.7","0.0","0.0","8.8"
"Davis Mills","HOU","14.0","8.4","128.3","0.7","0.4","2.1","8.6","0.0","0.0","8.6"
"Tanner McKee","PHI","11.1","7.1","124.8","0.7","0.4","3.1","8.0","0.0","0.0","8.4"
"Drew Lock","SEA","13.8","9.3","131.6","0.7","0.7","2.2","8.5","0.0","0.0","8.3"
"Andy Dalton","CAR","14.1","9.0","128.2","0.7","0.7","2.1","8.6","0.0","0.0","8.2"
"Brandon Allen","TEN","12.8","8.2","123.4","0.7","0.7","2.1","6.6","0.0","0.0","7.8"
"Mitchell Trubisky","BUF","12.4","7.8","118.4","0.7","0.4","1.8","7.9","0.0","0.0","7.8"
"Cooper Rush","BAL","11.2","7.6","118.0","0.7","0.3","2.1","10.1","0.0","0.4","7.4"
"Kirk Cousins","ATL","12.8","8.3","129.7","0.7","0.6","1.7","6.1","0.0","0.4","7.3"
"Teddy Bridgewater","TB","11.1","7.4","113.8","0.6","0.6","1.7","7.8","0.0","0.0","7.2"
"Trey Lance","LAC","10.0","6.0","109.0","0.3","0.3","2.0","16.0","0.0","0.0","7.0"
"Deshaun Watson","CLE","0.0","0.0","99.0","0.5","0.5","0.0","12.0","0.0","0.0","6.7"
"Quinn Ewers","MIA","0.0","0.0","100.0","0.5","0.5","0.0","7.0","0.0","0.0","6.2"
"Carson Wentz","MIN","11.5","7.5","88.5","0.5","0.5","2.5","11.0","0.0","0.0","6.1"
"Jake Haener","NO","11.0","6.5","68.0","0.5","0.5","2.5","11.5","0.0","0.0","5.4"
"Kyle Allen","DET","11.0","7.5","90.5","0.5","0.5","1.5","1.0","0.0","0.0","5.2"
"Graham Mertz","HOU","8.0","5.5","59.5","0.5","0.0","1.0","4.0","0.0","0.0","4.8"
"Will Howard","PIT","8.0","5.0","57.0","0.5","0.0","1.0","4.0","0.0","0.0","4.7"
"Taylor Heinicke","LAC","5.6","3.5","38.9","0.2","0.2","0.4","2.1","0.0","0.0","2.6"
"Trevor Siemian","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Case Keenum","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Johnson","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sam Ehlinger","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Desmond Ridder","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skylar Thompson","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Oladokun","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean Clifford","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Leary","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kurtis Rourke","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Miller","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Riley Leonard","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
